Test_Number,Testing_Type,A/S,Test(META???),Location_Type,Test_Location,??,EMA#1,EMA#2,EMAW,EMAS,EMAP,WABL,WABLM,RAWL,RAWLM,KEN,RANGE,Value
3025,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_HS_timing,A1,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3026,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,1024X4M8F2,ABGV_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3027,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X80M8F4,ABGTWV_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3028,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,8192X20M8F8,ABGRWVL_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3029,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X4M16F2,ABV_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3030,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,32768X40M16F8,ABGRWVL_LP_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3031,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,1024X4M8F2,ABGV_HS_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3032,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,16384X4M8F8,ABGV_HS_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3033,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X80M8F4,ABGTWV_HS_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3034,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,2048X4M16F2,ABV_HS_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3035,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,4096X40M16F4,ABGWV_HS_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3036,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,32768X40M16F8,ABGRV_HS_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3037,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,4096X42M8F4,ABGWVL_HS_m22n,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3038,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHD,4096X42M8F4,ABGWVL_HS_timing,A2,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
3039,tb_mem_yd_ckb,Auto_R,func_vec,RA1UHDA,1024X4M8F2,ABGV_LP_m22n,A3,B99,A1,A0,99,1,1,0,0,99,vddpe_0.6000V_vddce_0.6000V_dvdd_1.200V_100.00ns,(P)
